"ID_Comuna";"Nombre Comuna";"Fecha";"Pronóstico";"Observado"
1;"NORTE";"2020-10-23";775,798385071937;773
1;"NORTE";"2020-10-24";780,039408601069;774
1;"NORTE";"2020-10-25";786,876712417335;775
1;"NORTE";"2020-10-26";794,137343464456;779
1;"NORTE";"2020-10-27";801,880340739837;779
10;"PROVENZA";"2020-10-23";544,943956623227;549
10;"PROVENZA";"2020-10-24";550,252624153347;553
10;"PROVENZA";"2020-10-25";557,443218393459;556
10;"PROVENZA";"2020-10-26";564,995029632729;557
10;"PROVENZA";"2020-10-27";572,955109189655;557
11;"SUR";"2020-10-23";671,171735626322;669
11;"SUR";"2020-10-24";676,999776600238;677
11;"SUR";"2020-10-25";685,118686516209;688
11;"SUR";"2020-10-26";693,654858892988;691
11;"SUR";"2020-10-27";702,665331599189;691
12;"CABECERA DEL LLANO";"2020-10-23";836,265804493913;829
12;"CABECERA DEL LLANO";"2020-10-24";846,180326694187;832
12;"CABECERA DEL LLANO";"2020-10-25";859,017132521215;839
12;"CABECERA DEL LLANO";"2020-10-26";872,444430493904;842
12;"CABECERA DEL LLANO";"2020-10-27";886,538116620938;842
13;"ORIENTAL";"2020-10-23";1445,43911696158;1440
13;"ORIENTAL";"2020-10-24";1458,7298309158;1448
13;"ORIENTAL";"2020-10-25";1476,94055061097;1455
13;"ORIENTAL";"2020-10-26";1496,02711156763;1463
13;"ORIENTAL";"2020-10-27";1516,10910451746;1463
14;"MORRORICO";"2020-10-23";359,255421567715;356
14;"MORRORICO";"2020-10-24";361,678373938862;357
14;"MORRORICO";"2020-10-25";365,321232688104;359
14;"MORRORICO";"2020-10-26";369,181698231965;360
14;"MORRORICO";"2020-10-27";373,289525942667;360
15;"CENTRO";"2020-10-23";1168,65683226863;1157
15;"CENTRO";"2020-10-24";1180,92024079263;1164
15;"CENTRO";"2020-10-25";1197,18290346099;1177
15;"CENTRO";"2020-10-26";1214,19222744148;1185
15;"CENTRO";"2020-10-27";1232,05721802842;1185
16;"LAGOS DEL CACIQUE";"2020-10-23";326,536771110585;324
16;"LAGOS DEL CACIQUE";"2020-10-24";329,457255669536;324
16;"LAGOS DEL CACIQUE";"2020-10-25";333,502217730349;324
16;"LAGOS DEL CACIQUE";"2020-10-26";337,763185336868;325
16;"LAGOS DEL CACIQUE";"2020-10-27";342,269511588578;325
17;"MUTIS";"2020-10-23";590,4537076278;585
17;"MUTIS";"2020-10-24";595,212915365209;591
17;"MUTIS";"2020-10-25";601,981559208734;591
17;"MUTIS";"2020-10-26";609,111354982328;593
17;"MUTIS";"2020-10-27";616,651979049073;593
2;"NORORIENTAL";"2020-10-23";457,955187155605;455
2;"NORORIENTAL";"2020-10-24";465,892517773608;458
2;"NORORIENTAL";"2020-10-25";475,532349601933;461
2;"NORORIENTAL";"2020-10-26";485,605639324363;461
2;"NORORIENTAL";"2020-10-27";496,161826158073;461
3;"SAN FRANCISCO";"2020-10-23";1280,7221878896;1273
3;"SAN FRANCISCO";"2020-10-24";1294,12409335701;1277
3;"SAN FRANCISCO";"2020-10-25";1311,92957113586;1284
3;"SAN FRANCISCO";"2020-10-26";1330,56099133566;1291
3;"SAN FRANCISCO";"2020-10-27";1350,1293268949;1292
4;"OCCIDENTAL";"2020-10-23";605,176114742017;600
4;"OCCIDENTAL";"2020-10-24";610,532003163926;603
4;"OCCIDENTAL";"2020-10-25";617,961040198412;604
4;"OCCIDENTAL";"2020-10-26";625,773210478174;606
4;"OCCIDENTAL";"2020-10-27";634,019512210135;606
5;"GARCIA ROVIRA";"2020-10-23";1131,54510892648;1127
5;"GARCIA ROVIRA";"2020-10-24";1139,82505388218;1128
5;"GARCIA ROVIRA";"2020-10-25";1151,91431034243;1131
5;"GARCIA ROVIRA";"2020-10-26";1164,64589539173;1132
5;"GARCIA ROVIRA";"2020-10-27";1178,1102092071;1132
6;"LA CONCORDIA";"2020-10-23";495,020521742459;490
6;"LA CONCORDIA";"2020-10-24";498,885579587208;495
6;"LA CONCORDIA";"2020-10-25";504,436500464688;496
6;"LA CONCORDIA";"2020-10-26";510,291600906192;498
6;"LA CONCORDIA";"2020-10-27";516,492360697172;498
7;"CIUDADELA";"2020-10-23";603,146626567391;597
7;"CIUDADELA";"2020-10-24";611,182892951427;603
7;"CIUDADELA";"2020-10-25";621,361397363664;611
7;"CIUDADELA";"2020-10-26";632,00438601807;615
7;"CIUDADELA";"2020-10-27";643,169932382836;616
8;"SUROCCIDENTE";"2020-10-23";347,204184298335;345
8;"SUROCCIDENTE";"2020-10-24";349,313069238201;347
8;"SUROCCIDENTE";"2020-10-25";352,596320847442;347
8;"SUROCCIDENTE";"2020-10-26";356,08522164985;349
8;"SUROCCIDENTE";"2020-10-27";359,808251244861;349
9;"LA PEDREGOSA";"2020-10-23";260,718342405868;262
9;"LA PEDREGOSA";"2020-10-24";263,028039176337;264
9;"LA PEDREGOSA";"2020-10-25";266,23869192536;265
9;"LA PEDREGOSA";"2020-10-26";269,625018024783;267
9;"LA PEDREGOSA";"2020-10-27";273,21032377579;267
